Number of connections,FCFS Single-stream,FCFS Multi-stream,EBS Single-stream,EBS Multi-stream,BS Single-stream,BS Multi-stream
1,427.3333333,706.6666667,315,620.3333333,459.6666667,957.3333333
2,400.6666667,537.5,336.3333333,620.6666667,527.8333333,1034.166667
3,368.1111111,467.6666667,386,680.6666667,467.4444444,958.3333333
4,360.1666667,407.75,428.0833333,656.1666667,493.5833333,936.8333333
5,363.8,397,421,674,499.6666667,836.5333333
6,374.0555556,385.3333333,434.6111111,666.0555556,514.3333333,779
7,385.0952381,363.7142857,430.3809524,618,500.0952381,744.4761905
8,379.2083333,315.375,433.9166667,631.3333333,486.2916667,715.5416667
9,336.5185185,346.962963,408.8148148,646.4444444,470.7407407,814.1481481
10,316.2333333,327.1666667,414.6,612.9,461.5666667,780.9666667
11,287.5151515,292.4848485,406.3636364,552.5757576,460.5757576,730.4242424
12,265.25,271.8611111,401.5555556,524.1944444,458.9444444,680.1666667
13,253.0769231,261.2820513,410.7948718,511.2820513,446.0769231,625.025641
14,250.6666667,245.452381,405.9047619,516.7142857,416.9047619,582.4285714
15,251.0222222,229.4888889,387.3555556,503.7111111,417.3111111,542.6222222
16,233.9583333,228.8541667,371.7916667,484.9791667,410.1458333,511.375
17,229.8627451,214.1764706,376.4705882,452.372549,398.745098,485.9411765
18,234.2962963,246.1296296,382.5925926,474.1111111,391.1666667,458.8518519
19,224.7894737,233.0175439,370.877193,448.9649123,391.5614035,438.7192982
20,211.5333333,245.0833333,364.0666667,424.8,382.5,427.5166667
21,203.031746,233.9365079,350,401.4285714,369.7777778,412.8095238
22,202.8030303,228.3484848,343.2121212,384.1818182,362.9848485,409.5454545
23,193.9710145,216.826087,335.1449275,367.8695652,353.9130435,390.6086957
24,187.5277778,208.3888889,332.1111111,351.5416667,337.4444444,380.9305556
25,179.2933333,200.3466667,307.52,331.28,326.5733333,370.1733333
26,170.0128205,193.2051282,307.6282051,310.8589744,319.2051282,359.8076923
27,166.2839506,186.308642,299.5308642,303.1481481,308.8148148,344.9012346
28,164.9404762,177.4880952,297.8095238,289.702381,305.8452381,355.0595238
29,162.4482759,174.0229885,287.3103448,282.4022989,298.1034483,354.5057471
30,158.4401434,167.0444444,275.2340502,274.2555556,289.7666667,347.6111111
31,157.2580645,173.5698925,280.344086,266.1075269,281.9032258,337.0430108
32,156.5239899,168.8958333,271.5833333,258.28125,273.8020833,326.0520833
33,152.2228164,167.3333333,269.5252525,248.3838384,268.0505051,330.030303
34,147.6470588,160.2941176,264.7647059,244.1470588,258.372549,332.2058824
35,144.6857143,155.6857143,258.8857143,248.2666667,255.0095238,327.5238095
36,137.2047047,152.8425926,252.1851852,240.9166667,250.4814815,318.5092593
37,135.4864865,149.036036,247.0630631,233.3243243,245.3603604,308.6846847
38,138.0964912,143.8245614,243.9912281,223.6578947,234.3070175,315.0877193
39,133.8034188,140.1794872,240.1452991,219.2136752,230.6410256,306.2051282
